framework,transmission,tagLength,immunity,penalty,survived,peak_sick_percentage,avg_sick_percentage,final_population,final_gini,final_happiness,total_deaths,duration_seconds,delta_final_gini,delta_final_happiness,count
altruist,0.3,21.0,10.0,0.0,1.0,100.0,97.45389610389611,155.0,0.294,-0.98,95.0,11.6,-0.006,-2.03,1
altruist,0.3,21.0,10.0,0.001,1.0,0.0,0.0,154.0,0.301,1.0,96.0,10.2,0.001,-0.05,1
altruist,0.3,21.0,10.0,0.0025,1.0,0.0,0.0,154.0,0.301,1.0,96.0,10.0,0.001,-0.05,1
altruist,0.3,21.0,10.0,0.005,1.0,0.0,0.0,154.0,0.301,1.0,96.0,9.6,0.001,-0.05,1
altruist,0.3,21.0,10.0,0.01,1.0,0.0,0.0,154.0,0.301,1.0,96.0,9.2,0.001,-0.05,1
altruist,0.3,21.0,10.0,0.1,1.0,0.0,0.0,154.0,0.301,1.0,96.0,9.0,0.001,-0.05,1
altruist,0.3,21.0,10.0,0.25,1.0,0.0,0.0,154.0,0.301,1.0,96.0,8.4,0.001,-0.05,1
altruist,0.3,21.0,10.0,0.5,1.0,0.0,0.0,154.0,0.301,1.0,96.0,9.7,0.001,-0.05,1
altruist,0.3,21.0,35.0,0.0,1.0,12.37,0.298021978021978,150.0,0.292,1.04,100.0,8.8,-0.008,-0.01,1
altruist,0.3,21.0,35.0,0.001,1.0,0.0,0.0,141.0,0.285,1.02,109.0,8.8,-0.015,-0.03,1
altruist,0.3,21.0,35.0,0.0025,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.6,-0.015,-0.03,1
altruist,0.3,21.0,35.0,0.005,1.0,0.0,0.0,141.0,0.285,1.02,109.0,7.9,-0.015,-0.03,1
altruist,0.3,21.0,35.0,0.01,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.9,-0.015,-0.03,1
altruist,0.3,21.0,35.0,0.1,1.0,0.0,0.0,141.0,0.285,1.02,109.0,8.3,-0.015,-0.03,1
altruist,0.3,21.0,35.0,0.25,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.3,-0.015,-0.03,1
altruist,0.3,21.0,35.0,0.5,1.0,0.0,0.0,141.0,0.285,1.02,109.0,9.9,-0.015,-0.03,1
